featureID	kingdom	phylum	class	order	family	genus	species
OTU_189	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodopseudomonas	rhodopseudomonas sp.
OTU_192	bacteria	bacteroidetes	bacteroidia	bacteroidales	porphyromonadaceae	paludibacter	paludibacter propionicigenes
OTU_196	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	brucellaceae	ochrobactrum	ochrobactrum anthropi
OTU_201	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter spp.
OTU_204	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_211	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter sp.
OTU_213	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_215	bacteria	firmicutes	clostridia	clostridiales	eubacteriaceae	eubacterium	eubacterium sp.
OTU_220	bacteria	proteobacteria	gammaproteobacteria	enterobacteriales	enterobacteriaceae	citrobacter	citrobacter werkmanii
OTU_222	bacteria	proteobacteria	alphaproteobacteria	rhodospirillales	rhodospirillaceae	magnetospirillum	magnetospirillum sp.
OTU_223	bacteria	verrucomicrobia	opitutae	opitutales	opitutaceae	opitutus	opitutus spp.
OTU_224	bacteria	bacteroidetes	cytophagia	cytophagales	cytophagaceae	pontibacter	pontibacter spp.
OTU_236	bacteria	bacteroidetes	bacteroidia	bacteroidales	bacteroidaceae	bacteroides	bacteroides spp.
OTU_245	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	bradyrhizobiaceae	rhodoblastus	rhodoblastus acidophilus
OTU_247	bacteria	proteobacteria	alphaproteobacteria	rhizobiales	methylocystaceae	pleomorphomonas	pleomorphomonas oryzae
