,C0C,1C3A,1C3B,1C5A,1C5B,1C7A,1C7B,1C10A,1C10B,1C20B,1C20A,2C3A,2C3B,2C5A,2C5B,2C10A,2C10B,1M3A,1M3B,1M3C,1M5A,1M5B,1M5C,1M7A,1M7B,1M7C,1M10A,1M10B,1M10C,2M3A,2M3B,2M3C,2M5A,2M5B,2M7A,2M7B,2M7C,2M10A,2M10B,2M10C,3M3A,3M3B,3M3C,3M5B,3M5C,3M5A,3M7A,3M7B,3M7C,3M10A,3M10B,3M10C,1G3A,1G3B,1G3C,1G5A,1G5B,1G5C,1G7A,1G7B,1G7C,1G10A,1G10B,1G10C,2G3A,2G3B,2G3C,2G5A,2G5B,2G5C,2G7A,2G7B,2G7C,2G10A,2G10B,2G10C,3G3A,3G3B,3G3C,3G5A,3G5B,3G5C,3G7A,3G7B,3G7C,3G10A,3G10B
rhodobacter capsulatus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pseudomonas veronii,0,0,0,0,0,0,0,0,0,5,2,0,1,0,8,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,13,7,12,7,3877,3,8,1,3,7,6,10,8,10,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,2,4,6,5,5,4,3,4,5,5,2,5,0,7,10,0,1
streptococcus salivarius,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,2,2429,0,2,1,2,3,3,4,1,2,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3,2,0,0,1,1,1,2,2,1,0,1,2,1,0
stenotrophomonas spp.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,0,0,0,0,0,0,12,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17
zoogloea sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4
bordetella hinzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
cytophaga spp.,0,0,0,2,1,7,7,6,3,1,2,12,8,6,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,22,0,0,21,0,1,7,2,25,15,3,8,5,30,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,31,15,26,36,21,0,3,3,2,10,4,1,5,18,13,7,6,3,2
rhizobium straminoryzae,0,0,0,4,4,6,7,3,1,2,0,18,8,3,25,6,2,2,2,0,1,1,1,0,0,3,1,1,0,2,3,3,2,2,9,20,0,1,6,1,5,7,3,28,6,6,11,4,21,11,2,0,2,0,3,6,9,6,1,6,3,2,1,5,3,2,2,12,15,15,18,23,24,3,3,5,1,4,5,4,8,10,7,12,13,0,1
methanosaeta sp.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pontibacter korlensis,0,0,2,0,2,0,0,4,2,2,4,3,0,1,8,5,3,0,0,0,1,0,0,0,1,2,1,6,3,0,3,0,0,1,1,0,0,4,0,2,0,0,0,14,6,39,9,21,22,17,5,8,0,1,0,1,0,2,0,2,2,0,3,2,0,2,2,0,1,1,4,5,8,16,11,18,0,1,0,3,1,8,8,11,9,7,8
