otu name,sC0C,s1C3A,s1C3B,s1G3A,s1G3B,s1G3C,s1M3A,s1M3B,s1M3C,s1M5C,s1C5A,s1C5B,s1G5A,s1G5B,s1G5C,s1M5A,s1M5B,s1C7A,s1C7B,s1G7A,s1G7B,s1G7C,s1M7A,s1M7B,s1M7C,s1C10A,s1C10B,s1G10A,s1G10B,s1G10C,s1M10A,s1M10B,s1M10C,s2C3A,s2C3B,s2G3A,s2G3B,s2G3C,s2M3A,s2M3B,s2M3C,s2C5A,s2C5B,s2G5A,s2G5B,s2G5C,s2M5A,s2M5B,s2G7A,s2G7B,s2G7C,s2M7A,s2M7B,s2C10A,s2C10B,s2G10A,s2G10B,s2G10C,s2M10B,s1C20B,s1C20A,s3G3A,s3G3B,s3G3C,s3M3A,s3M3B,s3M3C,s3G5A,s3G5B,s3G5C,s3M5A,s3M5B,s3M5C,s3G7A,s3G7B,s3G7C,s3M7A,s3M7B,s3M7C,s3M10A,s3M10B,s3M10C,s3G10A,s3G10B,s2M10A,s2M10C
OTU_206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
OTU_207,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
OTU_208,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_209,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
OTU_210,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_211,645,133,356,53,159,345,95,90,104,95,109,2093,151,129,128,146,89,129,81,21,222,137,27,139,385,915,672,131,211,403,548,2454,1819,781,579,99,402,146,53,572,50,169,2886,134,335,193,105,279,1234,1270,2597,408,533,2397,1257,8946,8249,5390,339,1439,1115,383,75,225,154,38,30,2016,464,3243,6279,4662,1307,3563,2230,1624,3226,11388,6439,8351,4862,4976,3433,4164,1846,821
OTU_212,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,2,3,0,3,2,0,0,0,1,1,0,0,0,0,1,3,1,0,0,1,1,1,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
OTU_213,12,3,9,5,0,1,0,1,2,0,6,10,3,1,1,0,1,11,11,2,1,2,2,0,2,7,6,1,1,9,1,1,2,3,8,17,7,23,14,25,20,15,30,27,52,27,24,33,29,46,43,35,51,10,18,11,20,5,25,12,4,5,7,3,67,31,19,11,24,29,105,79,91,32,32,39,73,16,103,47,20,63,38,23,58,66
OTU_214,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
OTU_215,9,8,20,5,3,6,1,4,2,7,119,108,2,5,8,2,4,221,289,3,4,3,0,2,3,53,60,1,4,5,0,4,1,176,123,18,15,75,6,14,18,62,341,156,323,175,20,43,212,316,221,82,279,29,19,23,24,17,127,21,20,44,38,36,28,46,17,14,104,164,89,280,140,88,55,144,164,21,344,73,8,22,2,4,15,12
OTU_216,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
