	Name	kingdom	taxonomy	phylum	class	order	family	genus	species
OTU_65	Bacteria;Chloroflexi;Chloroflexi	Bacteria	Root;Bacteria;Chloroflexi;Chloroflexi;	Chloroflexi	Chloroflexi	c_Chloroflexi	c_Chloroflexi	c_Chloroflexi	c_Chloroflexi
OTU_66	Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales	Bacteria	Root;Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;	Chloroflexi	Dehalococcoidia	Dehalococcoidales	o_Dehalococcoidales	o_Dehalococcoidales	o_Dehalococcoidales
OTU_67	Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	Bacteria	Root;Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	f_Ktedonobacteraceae	f_Ktedonobacteraceae
OTU_68	Bacteria;Cyanobacteria	Bacteria	Root;Bacteria;Cyanobacteria;	Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria	p_Cyanobacteria
OTU_69	Bacteria;Cyanobacteria;empty_class;Chroococcales;empty_family;Synechococcus	Bacteria	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	g_Synechococcus
OTU_70	Bacteria;Cyanobacteria;empty_class;Chroococcales;empty_family;Synechococcus;MBIC10007	Bacteria	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;MBIC10007;	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	MBIC10007
OTU_71	Bacteria;Cyanobacteria;empty_class;Chroococcales;empty_family;Synechococcus;WH_5701	Bacteria	Root;Bacteria;Cyanobacteria;Unassigned;Chroococcales;Unassigned;Synechococcus;WH_5701;	Cyanobacteria	p_Cyanobacteria	Chroococcales	o_Chroococcales	Synechococcus	WH_5701
OTU_72	Bacteria;Cyanobacteria;empty_class;Prochlorales;Prochlorococcaceae;Prochlorococcus	Bacteria	Root;Bacteria;Cyanobacteria;Unassigned;Prochlorales;Prochlorococcaceae;Prochlorococcus;	Cyanobacteria	p_Cyanobacteria	Prochlorales	Prochlorococcaceae	Prochlorococcus	g_Prochlorococcus
OTU_73	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio	Bacteria	Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	g_Denitrovibrio
OTU_74	Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;acetiphilus	Bacteria	Root;Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;acetiphilus;	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	acetiphilus
OTU_75	Bacteria;Elusimicrobia	Bacteria	Root;Bacteria;Elusimicrobia;	Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia	p_Elusimicrobia
OTU_76	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales	Bacteria	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;	Fibrobacteres	Fibrobacteria	Fibrobacterales	o_Fibrobacterales	o_Fibrobacterales	o_Fibrobacterales
OTU_77	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae	Bacteria	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	f_Fibrobacteraceae	f_Fibrobacteraceae
OTU_78	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter	Bacteria	Root;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;Fibrobacter;	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	g_Fibrobacter
OTU_79	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus;	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	g_Halobacillus
OTU_80	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;humicus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;humicus;	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	humicus
OTU_81	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	g_Staphylococcus
OTU_82	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;species_NA	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Unassigned;	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	g_Staphylococcus
OTU_83	Bacteria;Firmicutes;Bacilli;Bacillales;empty_family;Gemella	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Unassigned;Gemella;	Firmicutes	Bacilli	Bacillales	o_Bacillales	Gemella	g_Gemella
OTU_84	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	g_Aerococcus
OTU_85	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Atopostipes	g_Atopostipes
OTU_86	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;faecalis;	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	faecalis
OTU_87	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;species_NA	Bacteria	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Unassigned;	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	g_Enterococcus
